date_surveyed,user_id,state,municipio,hour_wait
2020-10-21 21:17:51.781 UTC,4641111110057984,Táchira,Bolívar,2
2020-10-21 21:10:43.515 UTC,5012605556228096,Distrito Capital,Libertador,3
2020-10-21 20:48:16.283 UTC,6659977068675072,Distrito Capital,Libertador,11
2020-10-21 20:47:26.740 UTC,4736006066012160,Táchira,San Cristóbal,8
2020-10-21 20:43:38.212 UTC,5741310959157248,Miranda,Guaicaipuro,4
2020-10-21 20:29:33.906 UTC,5939235086663680,Zulia,Maracaibo,4
2020-10-21 20:27:28.643 UTC,5712098442346496,Zulia,Maracaibo,10
2020-10-21 20:11:21.246 UTC,5754531626876928,Miranda,Baruta,7
2020-10-21 19:56:21.682 UTC,5933464090312704,Distrito Capital,Libertador,11
2020-10-21 19:53:02.670 UTC,5518994542428160,Táchira,Cárdenas,8
2020-10-21 18:18:58.858 UTC,4979212890144768,Miranda,Guaicaipuro,6
2020-10-21 18:16:17.875 UTC,5281074478579712,Miranda,Guaicaipuro,2
2020-10-21 18:11:51.172 UTC,5483578696925184,Distrito Capital,Libertador,18
2020-10-21 18:10:18.923 UTC,4787851083644928,Miranda,Carrizal,4
2020-10-21 18:08:58.816 UTC,6550952870412288,Miranda,Chacao,4
2020-10-21 18:08:19.433 UTC,6075669063925760,Distrito Capital,Libertador,8
2020-10-21 18:03:51.686 UTC,6621536040779776,Miranda,Guaicaipuro,6
2020-10-21 17:59:03.645 UTC,5599749334106112,Miranda,Guaicaipuro,1
2020-10-21 17:54:01.487 UTC,5926425447366656,Zulia,Lagunillas,4
2020-10-21 17:54:01.434 UTC,5203247007793152,Zulia,Lagunillas,9
2020-10-21 17:30:13.115 UTC,5830666537140224,Miranda,Carrizal,1
2020-10-21 17:15:23.274 UTC,6002361274466304,Distrito Capital,Libertador,9
2020-10-21 17:11:16 UTC,5733983945490432,Zulia,Mara,12
2020-10-21 17:01:31.241 UTC,6209591995269120,Miranda,Guaicaipuro,5
2020-10-21 16:54:42.161 UTC,6517250751725568,Miranda,Guaicaipuro,1
2020-10-21 16:54:03.381 UTC,6453581420167168,Miranda,Plaza,10
2020-10-21 16:53:51.424 UTC,6577187285630976,Distrito Capital,Libertador,3
2020-10-21 16:30:27.401 UTC,6737408078905344,Distrito Capital,Libertador,4
2020-10-21 16:26:09.673 UTC,6706241828552704,Distrito Capital,Libertador,42
2020-10-21 16:26:09.296 UTC,5211923470876672,Distrito Capital,Libertador,5
2020-10-21 16:24:20.808 UTC,6560016378626048,Distrito Capital,Libertador,0
2020-10-21 16:24:03.176 UTC,6550952870412288,Miranda,Chacao,4
2020-10-21 16:16:54.631 UTC,5518068009926656,Distrito Capital,Libertador,1
2020-10-21 16:09:40.912 UTC,6366785899331584,Distrito Capital,Libertador,9
2020-10-21 15:56:52.577 UTC,6586293653078016,Distrito Capital,Libertador,5
2020-10-21 15:48:57.837 UTC,6397547112562688,Distrito Capital,Libertador,6
2020-10-21 15:44:56.391 UTC,5897665746829312,Distrito Capital,Libertador,4
2020-10-21 15:39:26.861 UTC,6480176688136192,Distrito Capital,Libertador,6
2020-10-21 15:12:01.674 UTC,4827034182483968,Distrito Capital,Libertador,6
2020-10-21 14:30:40.850 UTC,4868596074545152,Zulia,Cabimas,4
2020-10-21 14:23:13.468 UTC,4957897370107904,Táchira,Cárdenas,5
2020-10-21 14:20:00.475 UTC,6603659742019584,Miranda,Guaicaipuro,4
2020-10-21 14:18:50.728 UTC,6422810017923072,Zulia,Cabimas,48
2020-10-21 14:15:11.700 UTC,4633060680400896,Miranda,Guaicaipuro,1
2020-10-21 14:12:37.233 UTC,5307174327943168,Miranda,Carrizal,2
2020-10-21 14:07:39.010 UTC,4925561962233856,Zulia,Cabimas,24
2020-10-21 13:55:37.263 UTC,6275059595608064,Miranda,Guaicaipuro,1
2020-10-21 13:55:19.398 UTC,6733790513987584,Táchira,San Cristóbal,7
2020-10-21 13:53:46.658 UTC,5405928052752384,Miranda,Guaicaipuro,2
2020-10-21 13:53:26.205 UTC,4961295736766464,Miranda,Guaicaipuro,1
2020-10-21 13:42:41.925 UTC,5353205722513408,Táchira,San Cristóbal,5
2020-10-21 13:39:10.952 UTC,6201387903090688,Distrito Capital,Libertador,4
2020-10-21 13:34:52.114 UTC,4772558245724160,Miranda,Guaicaipuro,5
2020-10-21 13:34:13.028 UTC,6118787106471936,Miranda,Guaicaipuro,3
2020-10-21 13:32:47.885 UTC,6162498919596032,Miranda,Carrizal,8
2020-10-21 13:31:25.492 UTC,6001144530993152,Miranda,Guaicaipuro,4
2020-10-21 13:30:25.145 UTC,5672243785891840,Miranda,Guaicaipuro,1
2020-10-21 13:12:14.621 UTC,6275953000448000,Miranda,Guaicaipuro,5
2020-10-21 13:10:08.653 UTC,6257416119517184,Distrito Capital,Libertador,6
2020-10-21 13:09:07.232 UTC,6257416119517184,Distrito Capital,Libertador,6
2020-10-21 12:59:30.738 UTC,6612090937933824,Zulia,Maracaibo,24
2020-10-21 12:58:11.229 UTC,5636699742273536,Miranda,Guaicaipuro,1
2020-10-21 12:52:43.837 UTC,6319200531906560,Miranda,Guaicaipuro,2
2020-10-21 12:49:39.112 UTC,5905870596079616,Miranda,Guaicaipuro,4
2020-10-21 12:47:17.534 UTC,4555607021715456,Miranda,Guaicaipuro,14
2020-10-21 12:41:14.107 UTC,5133597900013568,Distrito Capital,Libertador,2
2020-10-21 12:40:24.585 UTC,5728382864326656,Miranda,Guaicaipuro,3
2020-10-21 12:35:42.419 UTC,6167396736827392,Distrito Capital,Libertador,3
2020-10-21 12:26:11.258 UTC,5788398284963840,Miranda,Guaicaipuro,4
2020-10-21 12:17:04.335 UTC,6672412586541056,Miranda,Guaicaipuro,3
2020-10-21 12:16:49.098 UTC,6138886305873920,Zulia,Simón Bolívar,6
2020-10-21 12:12:54.164 UTC,4804610934177792,Zulia,Maracaibo,0
2020-10-21 12:10:32.273 UTC,4652215630561280,Táchira,San Cristóbal,2
2020-10-21 12:06:03.878 UTC,5788200396652544,Miranda,Guaicaipuro,20
2020-10-21 12:01:33.776 UTC,6256285817241600,Miranda,Guaicaipuro,2
2020-10-21 11:55:27.671 UTC,6472666305527808,Miranda,Guaicaipuro,3
2020-10-21 11:54:50.422 UTC,5892359040794624,Zulia,Rosario de Perijá,10
2020-10-21 11:52:16.713 UTC,5746595057631232,Zulia,Machiques de Perijá,6
2020-10-21 11:43:12.816 UTC,4928829675536384,Miranda,Guaicaipuro,2
2020-10-21 11:39:17.456 UTC,5695086429208576,Zulia,Maracaibo,5
2020-10-21 11:39:10.937 UTC,5621812307427328,Zulia,Maracaibo,6
2020-10-21 11:31:01.964 UTC,6374679382065152,Miranda,Guaicaipuro,2
2020-10-21 11:22:45.667 UTC,4519856566435840,Distrito Capital,Libertador,24
2020-10-21 11:03:54.324 UTC,6201925799772160,Miranda,Guaicaipuro,4
2020-10-21 10:59:44.582 UTC,5722874540457984,Miranda,Guaicaipuro,2
2020-10-21 10:57:32.900 UTC,6678200693555200,Miranda,Guaicaipuro,3
2020-10-21 10:45:04.343 UTC,5051905798832128,Miranda,Lander,8
2020-10-21 10:43:43.939 UTC,6276470491316224,Táchira,Guasimos,24
2020-10-21 10:43:24.650 UTC,6021786540179456,Miranda,Guaicaipuro,1
2020-10-21 10:39:47.027 UTC,6002418525929472,Miranda,Guaicaipuro,3
2020-10-20 17:19:04.373 UTC,5486115684614144,Distrito Capital,Libertador,5
2020-10-20 16:32:29.830 UTC,5387741639737344,Distrito Capital,Libertador,12
2020-10-20 16:30:08.716 UTC,6018538184900608,Distrito Capital,Libertador,7
2020-10-20 16:06:43.364 UTC,6690300048703488,Distrito Capital,Libertador,24
2020-10-20 15:57:50.434 UTC,5636699742273536,Miranda,Guaicaipuro,2
2020-10-20 15:53:00.119 UTC,6319200531906560,Miranda,Guaicaipuro,1
2020-10-20 14:56:49.723 UTC,5235540256882688,Distrito Capital,Libertador,2
2020-10-20 13:33:46.705 UTC,4961295736766464,Miranda,Guaicaipuro,1
2020-10-20 12:58:27.575 UTC,6159427255402496,Zulia,Lagunillas,5
2020-10-19 22:02:21.096 UTC,5425690080182272,Táchira,Cárdenas,2
2020-10-19 21:44:28.979 UTC,4967008014958592,Zulia,Cabimas,7
2020-10-19 20:06:19.104 UTC,6552654037123072,Distrito Capital,Libertador,6
2020-10-19 18:05:58.453 UTC,5926425447366656,Zulia,Lagunillas,4
2020-10-19 18:02:26.929 UTC,5203247007793152,Zulia,Lagunillas,9
2020-10-19 17:33:25.217 UTC,4727926869458944,Táchira,Guasimos,4
2020-10-19 16:14:03.856 UTC,6621536040779776,Miranda,Guaicaipuro,5
2020-10-19 15:06:28.818 UTC,5483578696925184,Distrito Capital,Libertador,8
2020-10-19 15:01:45.162 UTC,5792515721003008,Táchira,Cárdenas,5
2020-10-19 11:57:07.193 UTC,6269692558180352,Distrito Capital,Libertador,12
2020-10-19 11:40:05.111 UTC,5695086429208576,Zulia,Maracaibo,5
2020-10-18 21:10:33.386 UTC,6317500599107584,Zulia,Maracaibo,15
2020-10-18 17:17:50.400 UTC,4733886109581312,Distrito Capital,Libertador,5
2020-10-18 17:03:43.390 UTC,4559013564121088,Distrito Capital,Libertador,24
2020-10-18 13:58:36.346 UTC,4663604645462016,Miranda,Carrizal,3
2020-10-18 13:49:24.554 UTC,4856200470724608,Miranda,Guaicaipuro,8
2020-10-18 13:45:18.431 UTC,5390705391828992,Distrito Capital,Libertador,5
2020-10-18 13:41:37.047 UTC,6747305982558208,Miranda,Guaicaipuro,3
2020-10-18 13:40:50.410 UTC,5427730625069056,Miranda,Sucre,2
2020-10-18 12:57:41.519 UTC,5319863238393856,Zulia,Maracaibo,2
2020-10-17 21:30:08.485 UTC,6552654037123072,Distrito Capital,Libertador,8
2020-10-17 18:26:12.591 UTC,4733525250539520,Miranda,Baruta,1
2020-10-17 18:21:03.070 UTC,5722920065433600,Distrito Capital,Libertador,1
2020-10-17 18:13:25.713 UTC,5990437629722624,Miranda,Carrizal,5
2020-10-17 17:43:09.023 UTC,5712098442346496,Zulia,Maracaibo,18
2020-10-17 17:16:57.582 UTC,6425738267328512,Miranda,Carrizal,3
